关键词,频次
发展,64
就业,35
企业,28
支持,26
经济,25
建设,25
疫情,23
保障,23
加强,23
推进,21
坚持,20
中国,19
推动,19
促进,18
政府,17
全面,17
基本,17
改革,17
脱贫,16
工作,15
民生,15
增加,15
提高,14
人民,13
防控,13
目标,13
社会,13
坚决,13
政策,13
服务,13
今年,12
实施,12
扩大,12
稳定,12
群众,11
消费,11
深化,11
人员,11
完善,11
能力,11
重大,10
任务,10
重要,10
生产,10
困难,10
投资,10
强化,10
我国,9
核心,9
加快,9
落实,9
贷款,9
代表,8
加大,8
全国,8
主要,8
万亿元,8
持续,8
创新,8
攻坚,8
社会主义,8
国际,8
维护,8
党中央,7
取得,7
经济社会,7
增长,7
继续,7
发挥,7
深入,7
国家,7
体系,7
及时,7
地区,7
有效,7
生活,7
市场主体,7
实现,7
提升,7
同志,6
战略,6
去年,6
挑战,6
世界,6
完成,6
建成,6
小康社会,6
以上,6
创业,6
农村,6
城镇,6
激发,6
特色,6
开展,6
中央,6
基层,6
合作,6
机制,6
抗疫,6
大幅,6
各国,6
市场,6
制度,6
积极,6
支出,6
重点,6
失业,6
扶贫,6
农民,6
安全,6
领导,5
努力,5
全年,5
优化,5
超过,5
作用,5
保持,5
科技,5
规模,5
小微,5
出台,5
攻坚战,5
时代,5
领导人,5
治理,5
举措,5
思想,5
特别,5
中小,5
风险,5
做好,5
贯彻,5
确保,5
综合,5
全部,5
规划,5
大力,5
各类,5
力度,5
监管,5
市场化,5
环境,5
国务院,4
坚强,4
成果,4
面临,4
国内,4
各族人民,4
基础,4
结构,4
区域,4
制造业,4
不断,4
领域,4
减税,4
机构,4
自贸,4
改善,4
万人,4
教育,4
严格,4
全球,4
统筹,4
方面,4
物资,4
实行,4
公共卫生,4
降低,4
复工,4
研发,4
减免,4
专项,4
债券,4
坚定,4
引导,4
安排,4
必须,4
融资,4
文化,4
拓展,4
体制,4
扶持,4
健康,4
投入,4
保护,4
产业,4
设施,4
振兴,4
始终,4
军队,4
强军,4
报告,3
新冠,3
肺炎,3
以来,3
广大,3
当前,3
努力完成,3
居民消费,3
服务业,3
增强,3
升级,3
供给,3
降费,3
共建,3
一带,3
一路,3
成效,3
试验区,3
外贸,3
外资,3
贫困人口,3
防治,3
下降,3
总体,3
金融,3
养老,3
低保,3
水平,3
力量,3
精神,3
会晤,3
构建,3
共同体,3
和平,3
岗位,3
同胞,3
海外侨胞,3
优先,3
结合,3
延长,3
灵活,3
控制,3
遏制,3
抓好,3
变化,3
公开,3
防疫,3
帮助,3
巨大,3
秩序,3
复产,3
地方,3
表示,3
诚挚,3
感谢,3
组织,3
产业链,3
供应链,3
应急,3
切实,3
政治,3
优势,3
新增,3
左右,3
单位,3
六保,3
底线,3
稳住,3
更加,3
特殊,3
资金,3
新建,3
各级,3
务必,3
合理,3
健全,3
个体,3
工商户,3
助力,3
增值税,3
亿元,3
成本,3
鼓励,3
整治,3
高校,3
家庭,3
要素,3
试点,3
保险,3
更大,3
培育,3
行动,3
电商,3
实验室,3
增收,3
改造,3
需求,3
县城,3
编制,3
生态,3
民族,3
高水平,3
贸易,3
办好,3
养老金,3
自觉,3
监督,3
接受,3
中华民族,3
国防,3
大会,2
审议,2
会议,2
提出,2
意见,2
成立,2
遭遇,2
付出,2
艰巨,2
最低,2
下行,2
压力,2
团结,2
决定性,2
国际收支,2
平衡,2
拉动,2
动能,2
一批,2
新兴产业,2
壮大,2
大众,2
万众,2
深入开展,2
改革开放,2
结构性,2
受益,2
放管服,2
增设,2
进展,2
污染,2
污染物,2
排放量,2
收入,2
医疗,2
高职,2
院校,2
扩招,2
规定,2
纠治,2
四风,2
减负,2
外交,2
中日韩,2
积极参与,2
人类,2
命运,2
交流,2
亲自,2
指挥,2
部署,2
应对,2
履职,2
尽责,2
勇挑重担,2
协同,2
攻关,2
快递,2
劳动者,2
湖北,2
中华儿女,2
抗击,2
精准,2
传染病,2
管理,2
各地,2
快速,2
医用,2
全力,2
救治,2
药物,2
疫苗,2
检测,2
短时间,2
保供,2
稳价,2
交通,2
常态,2
关心,2
透明,2
信息,2
主动,2
共同,2
人口,2
代价,2
负增长,2
不懈,2
发放,2
价格,2
标准,2
潜能,2
科学,2
台湾同胞,2
现代化,2
看到,2
冲击,2
严重,2
衰退,2
出口,2
不足,2
形式主义,2
突出,2
指导,2
十九,2
做到,2
稳中求进,2
粮食,2
能源安全,2
运转,2
扩大内需,2
大局,2
时期,2
独特,2
动力,2
必将,2
打赢,2
失业率,2
登记,2
进出口,2
促稳,2
提质,2
贫困县,2
十三,2
增速,2
经贸,2
形势,2
六稳,2
守住,2
国债,2
这是,2
直达,2
包括,2
降息,2
压减,2
严禁,2
各项,2
货币政策,2
适度,2
货币,2
明显,2
便利,2
清理,2
取消,2
不合理,2
限制,2
剩余,2
执行,2
发生,2
着力,2
公共,2
餐饮,2
旅游,2
明年,2
未来,2
经营,2
违规,2
收费,2
延期,2
银行,2
担保,2
覆盖面,2
防止,2
群体,2
社会化,2
退役军人,2
稳岗,2
活力,2
注册,2
公平竞争,2
打造,2
更好,2
功能,2
赋予,2
自主权,2
技术,2
国资,2
国企改革,2
民营,2
民营企业,2
平等,2
互联网,2
业态,2
新一轮,2
共享,2
融合,2
适应,2
新型,2
社区服务,2
用来,2
高质量,2
贫困地区,2
恢复,2
依法,2
搬迁,2
行为,2
文明,2
乡村,2
对外,2
负责制,2
牢牢,2
返乡,2
农民工,2
对外开放,2
坚定不移,2
开放,2
围绕,2
跨境,2
筹办,2
负面,2
清单,2
扩大开放,2
遵循,2
事业,2
面对,2
学校,2
所有,2
范围,2
纳入,2
救助,2
践行,2
责任,2
法律,2
担当,2
战胜,2
十四五,2
自治,2
人民军队,2
繁荣,2
台独,2
两岸,2
复兴,2
项此,1
本次,1
最后,1
新华社,1
公布,1
文本,1
为准,1
第十三届,1
全国人民代表大会,1
第三次,1
总理,1
李克强,1
现在,1
请予,1
全国政协,1
委员,1
这次,1
传播速度,1
最快,1
全国上下,1
艰苦卓绝,1
牺牲,1
尚未,1
结束,1
异常,1
造成,1
损失,1
降到,1
今年以来,1
回顾,1
诸多困难,1
低迷,1
国际经贸,1
摩擦,1
加剧,1
带领,1
攻坚克难,1
打下,1
以下,1
价格上涨,1
布局,1
消费品,1
零售总额,1
先进,1
现代,1
粮食产量,1
万亿斤,1
常住人口,1
城镇化率,1
首次,1
重大成果,1
传统产业,1
数量,1
日均,1
净增,1
万户,1
迈出,1
步伐,1
突破,1
原定,1
最多,1
纵深,1
设立,1
科创板,1
外商投资,1
条例,1
上海,1
片区,1
保持稳定,1
三大,1
关键,1
减少,1
贫困,1
发生率,1
成就,1
生态环境,1
运行,1
平稳,1
进一步,1
居民,1
人均,1
支配,1
万元,1
危房改造,1
隆重庆祝,1
中华人民共和国,1
周年,1
极大,1
爱国热情,1
汇聚,1
夺取,1
伟大胜利,1
磅礴,1
党风廉政,1
扎实,1
不忘,1
初心,1
牢记,1
使命,1
主题,1
八项,1
松绑,1
大国,1
丰硕,1
成功,1
举办,1
第二届,1
高峰论坛,1
主场,1
外交活动,1
主席,1
党和国家,1
出访,1
出席,1
十国集团,1
峰会,1
金砖,1
中欧,1
活动,1
人文,1
卓有成效,1
作出,1
贡献,1
总书记,1
生命安全,1
身体健康,1
放在,1
第一位,1
领导小组,1
研究部署,1
指导组,1
加强指导,1
督导,1
联防,1
联控,1
协调,1
部门,1
全力支持,1
人民战争,1
总体战,1
阻击战,1
医务人员,1
英勇,1
奋战,1
人民解放军,1
指战员,1
工作者,1
社区,1
环卫,1
运输,1
不辞劳苦,1
亿万,1
普通,1
默默,1
奉献,1
武汉,1
坚韧不拔,1
社会各界,1
港澳台,1
捐款捐物,1
风雨同舟,1
守望相助,1
筑起,1
巍峨,1
长城,1
施策,1
甲类,1
启动,1
突发,1
事件,1
一级,1
果断,1
管控,1
措施,1
之力,1
予以,1
支援,1
调派,1
万多名,1
医护人员,1
驰援,1
扩充,1
收治,1
床位,1
诊疗,1
方案,1
中西医,1
患者,1
最大,1
程度,1
治愈率,1
病亡,1
春节假期,1
推迟,1
开学,1
错峰,1
出行,1
群防,1
