关键词,频次
农村,80
建设,48
农业,44
乡村,43
加强,40
工作,39
推进,33
脱贫,31
服务,25
全面,24
支持,24
政策,23
三农,20
用地,20
扶贫,19
开展,19
治理,19
发展,18
农民,17
落实,17
强化,16
保障,16
制度,16
农产品,16
提高,15
实施,14
改革,14
产业,14
加快,14
管理,14
试点,14
稳定,13
基本,13
生产,13
攻坚,12
群众,12
加大,12
扩大,12
体系,12
完善,12
重点,11
做好,11
推动,11
设施,11
集体,11
确保,10
力度,10
乡镇,10
实现,9
小康,9
持续,9
坚持,9
问题,9
组织,9
整治,9
教师,9
农民工,9
领域,8
任务,8
贫困,8
优化,8
规模,8
基层,8
地区,8
国家,8
振兴,7
重大,7
制定,7
继续,7
完成,7
社会,7
专项,7
纳入,7
工程,7
保护,7
鼓励,7
学校,7
资源,7
能力,7
文化,7
土地,7
生猪,7
领导,7
科技,7
攻坚战,6
突出,6
中央,6
提升,6
贫困人口,6
基础,6
进一步,6
深入,6
各地,6
推广,6
标准,6
责任,6
解决,6
方式,6
抓紧,6
启动,6
范围,6
改造,6
政府,6
行动,6
地方,6
安排,6
有效,6
农村基层,6
县级,6
保险,6
合理,6
下乡,6
投资,6
项目,6
党组织,6
审批,6
宅基地,6
抓好,5
意见,5
打赢,5
出台,5
举措,5
建成,5
小康社会,5
目标,5
短板,5
安全,5
贫困地区,5
救助,5
综合,5
增加,5
资金,5
主要,5
用于,5
健全,5
深化,5
扎实,5
队伍,5
研究,5
调整,5
公共,5
城市,5
模式,5
优先,5
教育,5
符合条件,5
供给,5
重要,5
粮食,5
补贴,5
使用,5
养殖,5
物流,5
合作社,5
产业链,5
创业,5
作用,5
县域,5
人才,5
党中央,4
战略,4
质量,4
坚决,4
要求,4
时代,4
更加,4
饮水,4
力量,4
帮扶,4
信贷,4
巩固,4
成果,4
防止,4
人口,4
监测,4
机制,4
及时,4
扶持,4
不摘,4
监管,4
相对,4
建立,4
基础设施,4
条例,4
统筹,4
工程建设,4
条件,4
中西部,4
生活,4
进行,4
大力,4
医生,4
防控,4
利用,4
实行,4
指标,4
农田,4
措施,4
防疫,4
引导,4
一批,4
监督,4
保鲜,4
基地,4
家庭,4
企业,4
建立健全,4
培育,4
经营,4
农户,4
工资,4
创新,4
集体经济,4
执法,4
资产,4
风险,4
涉农,4
十九大,3
收官,3
关键,3
习近平,3
中国,3
贯彻,3
十九,3
精神,3
保供,3
保持,3
精准,3
三区,3
三州,3
深度,3
集中,3
行政村,3
低保,3
财政,3
新增,3
排查,3
经验,3
就业,3
深入开展,3
考核,3
宣传,3
程序,3
常态,3
优势,3
减贫,3
贫困县,3
可以,3
根据,3
实际,3
情况,3
示范,3
有序,3
支付,3
养护,3
计划,3
村庄,3
供水,3
水平,3
布局,3
延伸,3
补助,3
人居,3
环境,3
分类,3
确定,3
技术,3
中心,3
改善,3
义务教育,3
职业,3
办好,3
培训,3
服务体系,3
收益,3
加工,3
高标准,3
耕地,3
渠道,3
一件,3
相结合,3
严格,3
研发,3
市场,3
行为,3
现代农业,3
配套,3
仓储,3
冷链,3
农场,3
供销,3
现代,3
应用,3
打造,3
融合,3
